"","Vgene","Freq","Condition","Percentage","Y28-2","Y28-4","Y29-2","Y54-4","Y165-1","Y167-1","Y170-1","Y172-1","Y111-1","Y113-1","Y117-1","Y129-1","sem"
"1","TRBV20-1",23,"Carditis",13.6094674556213,2.36686390532544,3.55029585798817,1.77514792899408,3.55029585798817,5.32544378698225,0.591715976331361,5.32544378698225,2.36686390532544,0.591715976331361,1.18343195266272,0,0,1.16792103376006
"2","TRBV2",10,"Carditis",5.91715976331361,1.77514792899408,0.591715976331361,0.591715976331361,0.591715976331361,1.77514792899408,1.18343195266272,2.36686390532544,0.591715976331361,0,0,0,0,0.381951020336037
"3","TRBV6-5",9,"Carditis",5.32544378698225,1.18343195266272,0.591715976331361,0.591715976331361,1.18343195266272,2.9585798816568,0.591715976331361,1.18343195266272,0.591715976331361,0.591715976331361,0.591715976331361,0,0,0.56005013272192
"4","TRBV7-8",9,"Carditis",5.32544378698225,1.18343195266272,0,1.77514792899408,0,4.14201183431953,0,1.18343195266272,0,0.591715976331361,1.18343195266272,0,0,0.97752601585794
"5","TRBV19",8,"Carditis",4.73372781065089,1.18343195266272,0.591715976331361,1.18343195266272,0.591715976331361,3.55029585798817,0,0.591715976331361,0.591715976331361,0,0.591715976331361,0,0,0.801187219392107
"6","TRBV27",8,"Carditis",4.73372781065089,0.591715976331361,1.18343195266272,1.18343195266272,0.591715976331361,2.36686390532544,1.77514792899408,0.591715976331361,0,0,0,0,0,0.540160313121466
"7","TRBV4-2",8,"Carditis",4.73372781065089,0.591715976331361,0,0,1.18343195266272,3.55029585798817,0.591715976331361,0,0.591715976331361,0,0,0,0,0.801187219392106
"8","TRBV9",8,"Carditis",4.73372781065089,0.591715976331361,1.18343195266272,1.18343195266272,1.77514792899408,1.77514792899408,1.18343195266272,0.591715976331361,1.18343195266272,0.591715976331361,0.591715976331361,0,0,0.241567035777434
"9","TRBV11-2",7,"Carditis",4.14201183431953,0.591715976331361,0.591715976331361,0,1.18343195266272,1.18343195266272,0.591715976331361,0.591715976331361,1.77514792899408,27.810650887574,23.0769230769231,25.4437869822485,0.591715976331361,0.283262457916076
"10","TRBV29-1",7,"Carditis",4.14201183431953,2.36686390532544,0.591715976331361,0,1.18343195266272,1.18343195266272,0.591715976331361,1.18343195266272,1.18343195266272,0.591715976331361,0,0,0,0.14792899408284
"11","TRBV5-1",6,"Carditis",3.55029585798817,1.77514792899408,2.36686390532544,0.591715976331361,1.18343195266272,0,1.18343195266272,1.77514792899408,0.591715976331361,0,0,0.591715976331361,0,0.381951020336037
"12","TRBV5-5",6,"Carditis",3.55029585798817,0,0,1.18343195266272,0,1.18343195266272,0,0.591715976331361,1.77514792899408,0,0,0,0,0.381951020336037
"13","TRBV14",5,"Carditis",2.9585798816568,1.77514792899408,0.591715976331361,0,0.591715976331361,1.77514792899408,1.18343195266272,0,0,0,0,0.591715976331361,0,0.443786982248521
"14","TRBV18",5,"Carditis",2.9585798816568,1.18343195266272,0.591715976331361,1.18343195266272,0.591715976331361,0.591715976331361,1.18343195266272,0.591715976331361,0.591715976331361,0,0,0,0,0.14792899408284
"15","TRBV15",4,"Carditis",2.36686390532544,0,0.591715976331361,0,0.591715976331361,0,1.18343195266272,0,1.18343195266272,0,0,0,0,0.341627378218713
"16","TRBV5-4",4,"Carditis",2.36686390532544,0,0,0.591715976331361,0,0,0,0,2.36686390532544,0,0.591715976331361,0,0,0.591715976331361
"17","TRBV6-1",4,"Carditis",2.36686390532544,1.18343195266272,1.77514792899408,1.18343195266272,1.18343195266272,0.591715976331361,1.18343195266272,0.591715976331361,0,0,0,0,0,0.241567035777434
"18","TRBV6-2",4,"Carditis",2.36686390532544,0,0.591715976331361,0,0.591715976331361,1.18343195266272,0,0,1.18343195266272,0,0,0,0,0.341627378218713
"19","TRBV25-1",3,"Carditis",1.77514792899408,0.591715976331361,0,0,0,1.18343195266272,0,0,0.591715976331361,0,0.591715976331361,0,0,0.283262457916076
"20","TRBV28",3,"Carditis",1.77514792899408,0.591715976331361,0,1.18343195266272,1.77514792899408,1.18343195266272,0.591715976331361,0,0,1.18343195266272,1.77514792899408,0,0,0.283262457916076
"21","TRBV6-6",3,"Carditis",1.77514792899408,0.591715976331361,1.18343195266272,1.18343195266272,0,1.18343195266272,0.591715976331361,0,0,0,0,0,0,0.283262457916076
"22","TRBV7-2",3,"Carditis",1.77514792899408,1.18343195266272,0,0.591715976331361,0.591715976331361,0,0.591715976331361,0,1.18343195266272,1.77514792899408,0,0,0,0.283262457916076
"23","TRBV7-6",3,"Carditis",1.77514792899408,0,0,0.591715976331361,0,0,0.591715976331361,1.18343195266272,0,0,0,0,0,0.283262457916076
"24","TRBV10-3",2,"Carditis",1.18343195266272,0.591715976331361,0.591715976331361,0,0.591715976331361,0.591715976331361,0,0.591715976331361,0,0,0,0,0,0.170813689109357
"25","TRBV12-4",2,"Carditis",1.18343195266272,0.591715976331361,1.18343195266272,0.591715976331361,0,1.18343195266272,0,0,0,0,0.591715976331361,0,0,0.29585798816568
"26","TRBV3-1",2,"Carditis",1.18343195266272,1.77514792899408,0,0,1.18343195266272,0.591715976331361,0.591715976331361,0,0,0,0,0.591715976331361,0,0.170813689109357
"27","TRBV30",2,"Carditis",1.18343195266272,0.591715976331361,0.591715976331361,0.591715976331361,0,0.591715976331361,0.591715976331361,0,0,0,1.18343195266272,0,0,0.170813689109357
"28","TRBV5-6",2,"Carditis",1.18343195266272,1.18343195266272,0,0.591715976331361,1.18343195266272,0,1.18343195266272,0,0,0,1.18343195266272,0,0,0.29585798816568
"29","TRBV5-8",2,"Carditis",1.18343195266272,0.591715976331361,0,0.591715976331361,0,0,0.591715976331361,0,0.591715976331361,0,0,0,0,0.170813689109357
"30","TRBV11-3",1,"Carditis",0.591715976331361,0,0,0,0,0,0,0.591715976331361,0,0,0,0,0,0.14792899408284
"31","TRBV12-3",1,"Carditis",0.591715976331361,0,0,0,0.591715976331361,0,0,0.591715976331361,0,0,0,0,0,0.14792899408284
"32","TRBV16",1,"Carditis",0.591715976331361,0,0,0,0,0,0,0,0.591715976331361,0,0,0,0,0.14792899408284
"33","TRBV4-1",1,"Carditis",0.591715976331361,0,0,1.18343195266272,1.18343195266272,0,0,0.591715976331361,0,0.591715976331361,0,0,0,0.14792899408284
"34","TRBV4-3",1,"Carditis",0.591715976331361,0,0,0,0.591715976331361,0,0,0,0.591715976331361,0,0,0,0,0.14792899408284
"35","TRBV6-9",1,"Carditis",0.591715976331361,0,0,0,0,0,0.591715976331361,0,0,0,0,0,0,0.14792899408284
"36","TRBV7-9",1,"Carditis",0.591715976331361,1.18343195266272,1.18343195266272,0.591715976331361,1.18343195266272,0.591715976331361,0,0,0,0,0.591715976331361,1.18343195266272,0,0.14792899408284
"37","TRBV20-1",19,"HD",11.2426035502959,2.36686390532544,3.55029585798817,1.77514792899408,3.55029585798817,5.32544378698225,0.591715976331361,5.32544378698225,2.36686390532544,0.591715976331361,1.18343195266272,0,0,0.443786982248521
"38","TRBV5-1",10,"HD",5.91715976331361,1.77514792899408,2.36686390532544,0.591715976331361,1.18343195266272,0,1.18343195266272,1.77514792899408,0.591715976331361,0,0,0.591715976331361,0,0.381951020336037
"39","TRBV6-1",9,"HD",5.32544378698225,1.18343195266272,1.77514792899408,1.18343195266272,1.18343195266272,0.591715976331361,1.18343195266272,0.591715976331361,0,0,0,0,0,0.14792899408284
"40","TRBV9",8,"HD",4.73372781065089,0.591715976331361,1.18343195266272,1.18343195266272,1.77514792899408,1.77514792899408,1.18343195266272,0.591715976331361,1.18343195266272,0.591715976331361,0.591715976331361,0,0,0.241567035777434
