"","group","q","d","d_sd","d_lower","d_upper","e","e_lower","e_upper","sample","condition"
"1","HD",0,161.405,1.3378806460651,158.782802118099,164.027197881901,1,0.983753924092186,1.01624607590781,"Y28.2","All Memory"
"4","HD",0,161.91,1.02819547248966,159.894773904853,163.925226095147,1,0.987553417978217,1.01244658202178,"Y28.4","All Memory"
"7","HD",0,161.37,1.3005990115884,158.820872778958,163.919127221042,1,0.98420321484141,1.01579678515859,"Y29.2","All Memory"
"10","HD",0,161.625,1.28163486988241,159.1130418137,164.1369581863,1,0.98445810866945,1.01554189133055,"Y54.4","All Memory"
"13","Booster",0,161.94,1.06398322426039,159.854631200295,164.025368799705,1,0.987122583674786,1.01287741632521,"B1","All Memory"
"16","Booster",0,159.945,1.86799949425924,156.283788268113,163.606211731887,1,0.977109558086298,1.0228904419137,"B2","All Memory"
"19","Booster",0,162.035,0.973918676245455,160.126154470688,163.943845529312,1,0.98821954806485,1.01178045193515,"B3","All Memory"
"22","Booster",0,156.91,2.53456507127012,151.942343743837,161.877656256163,1,0.968340728722436,1.03165927127756,"B4","All Memory"
"25","Carditis",0,157.005,2.36706357112536,152.365640651478,161.644359348522,1,0.97045088151,1.02954911849,"Y165.1","All Memory"
"28","Carditis",0,157.07,2.4443761728449,152.279110736556,161.860889263444,1,0.969498381209372,1.03050161879063,"Y167.1","All Memory"
"31","Carditis",0,161.28,1.28054636580441,158.77017524249,163.78982475751,1,0.984438090541231,1.01556190945877,"Y170.1","All Memory"
"34","Carditis",0,161.59,1.34571719683942,158.952442760819,164.227557239181,1,0.983677472373405,1.01632252762659,"Y172.1","All Memory"
"37","Recovered",0,161.98,0.913109437154773,160.190338389233,163.769661610767,1,0.988951342074534,1.01104865792547,"165.1R","All Memory"
"40","Recovered",0,160.025,1.84700626983344,156.404934231907,163.645065768093,1,0.977378123617602,1.0226218763824,"170.1R","All Memory"
"43","Recovered",0,162.05,0.980974799772627,160.127324722704,163.972675277296,1,0.988135296036435,1.01186470396357,"172.1R","All Memory"
