"group","q","d","d_sd","d_lower","d_upper","e","e_lower","e_upper","sample","condition"
"HD",0,70.145,5.9125940875576,58.5565285331826,81.7334714668173,1,0.834792622898035,1.16520737710197,"Y28.2","Non Naive CD8 Specific"
"HD",1,18.9718396764414,3.64265836055064,11.8323604817784,26.1113188711044,0.270466030029816,0.168684303682065,0.372247756377567,"Y28.2","Non Naive CD8 Specific"
"HD",2,5.03111401474376,0.854480326286167,3.35636334972484,6.70586467976268,0.0717244852055565,0.0478489322079242,0.0956000382031889,"Y28.2","Non Naive CD8 Specific"
"HD",0,66.32,5.52541864986549,55.4903784467577,77.1496215532423,1,0.836706550765345,1.16329344923465,"Y28.4","Non Naive CD8 Specific"
"HD",1,18.1621294998649,3.14187688468853,12.0041639620165,24.3200950377134,0.273855993665032,0.181003678558753,0.366708308771311,"Y28.4","Non Naive CD8 Specific"
"HD",2,6.09707403299763,0.870902494462725,4.3901365098046,7.80401155619067,0.0919341681694456,0.066196268241927,0.117672068096964,"Y28.4","Non Naive CD8 Specific"
"HD",0,138.56,4.62094858542548,129.503107198155,147.616892801845,1,0.934635588901232,1.06536441109877,"Y29.2","Non Naive CD8 Specific"
"HD",1,117.886394242605,8.92862748025439,100.386605949932,135.386182535278,0.850796725192012,0.724499176890386,0.977094273493637,"Y29.2","Non Naive CD8 Specific"
"HD",2,78.4520164621117,15.8525571697927,47.3815753464558,109.522457577768,0.566195268924017,0.341957096899941,0.790433440948092,"Y29.2","Non Naive CD8 Specific"
"HD",0,127.305,4.8310111096652,117.836392216143,136.773607783857,1,0.925622655953367,1.07437734404663,"Y54.4","Non Naive CD8 Specific"
"HD",1,110.30629232747,7.67888671767426,95.255950919465,125.356633735474,0.866472584167704,0.748249879576332,0.984695288759075,"Y54.4","Non Naive CD8 Specific"
"HD",2,86.0943227556947,11.9463088836892,62.679987595473,109.508657915917,0.676283906804091,0.492360768198209,0.860207045409972,"Y54.4","Non Naive CD8 Specific"
"Booster",0,127.15,5.15951577331394,117.037534906638,137.262465093362,1,0.920468225769865,1.07953177423013,"B1","Non Naive CD8 Specific"
"Booster",1,102.112336035822,8.7791708034588,84.9054774469167,119.319194624726,0.803085615696591,0.667758375516451,0.938412855876731,"B1","Non Naive CD8 Specific"
"Booster",2,65.1660875647852,11.5467003493806,42.5349707397233,87.7972043898472,0.512513468853993,0.3345259200922,0.690501017615786,"B1","Non Naive CD8 Specific"
"Booster",0,113.055,5.526725838366,102.222816404376,123.887183595624,1,0.904186603019554,1.09581339698045,"B2","Non Naive CD8 Specific"
"Booster",1,85.3325702709466,8.26606869396251,69.1313733370461,101.533767204847,0.754788114377485,0.611484439759817,0.898091788995154,"B2","Non Naive CD8 Specific"
"Booster",2,53.5219776754265,9.37771213678802,35.1419996299378,71.9019557209152,0.473415396713339,0.310839853433619,0.635990939993058,"B2","Non Naive CD8 Specific"
"Booster",0,101.065,5.79210821617999,89.7126765017287,112.417323498271,1,0.887673047066034,1.11232695293397,"B3","Non Naive CD8 Specific"
"Booster",1,56.9262624207766,7.7670523815879,41.7031194868283,72.1494053547249,0.563263864055574,0.412636614919391,0.713891113191757,"B3","Non Naive CD8 Specific"
"Booster",2,21.6291703187728,5.14413449988412,11.5468519673699,31.7114886701756,0.2140124703782,0.114251738657002,0.313773202099398,"B3","Non Naive CD8 Specific"
"Booster",0,107.57,5.4731046373936,96.8429120270894,118.297087972911,1,0.900278070345723,1.09972192965428,"B4","Non Naive CD8 Specific"
"Booster",1,74.8881391276264,7.63015430014745,59.933311502854,89.8429667523988,0.696180525496202,0.557156377269257,0.835204673723146,"B4","Non Naive CD8 Specific"
"Booster",2,37.5382488087114,7.86308088183501,22.1268934727893,52.9496041446335,0.34896577864378,0.205697624549496,0.492233932738063,"B4","Non Naive CD8 Specific"
"Carditis",0,143.1,4.58312394831605,134.117242124618,152.082757875382,1,0.93722740827825,1.06277259172175,"Y165.1","Non Naive CD8 Specific"
"Carditis",1,132.880864214563,7.59920732984433,117.986691537016,147.775036892111,0.928587450835522,0.824505181949794,1.03266971972125,"Y165.1","Non Naive CD8 Specific"
"Carditis",2,115.616066476555,13.6486231475085,88.8652566688787,142.366876284231,0.807938969088436,0.621001094820956,0.994876843355915,"Y165.1","Non Naive CD8 Specific"
"Carditis",0,133.58,4.82285180131916,124.12738416664,143.03261583336,1,0.929236294105707,1.07076370589429,"Y167.1","Non Naive CD8 Specific"
"Carditis",1,118.687659515428,7.74329454702924,103.511081081566,133.864237949291,0.88851369602806,0.774899543955424,1.0021278481007,"Y167.1","Non Naive CD8 Specific"
"Carditis",2,93.0876347716323,14.4901632263264,64.6874367179258,121.487832825339,0.696868054885704,0.484259894579471,0.909476215191936,"Y167.1","Non Naive CD8 Specific"
"Carditis",0,143.75,4.50767073746374,134.915127700406,152.584872299594,1,0.938540018785433,1.06145998121457,"Y170.1","Non Naive CD8 Specific"
"Carditis",1,127.446615866153,9.20989087205849,109.395561455374,145.497670276932,0.8865851538515,0.761012601428691,1.01215770627431,"Y170.1","Non Naive CD8 Specific"
"Carditis",2,96.0155600789346,17.2156499690281,62.2735061691914,129.757613988678,0.667934330983893,0.433206999437853,0.902661662529933,"Y170.1","Non Naive CD8 Specific"
"Carditis",0,146.61,4.08427552114978,138.604967075608,154.615032924392,1,0.945399134271931,1.05460086572807,"Y172.1","Non Naive CD8 Specific"
"Carditis",1,134.375738639829,8.17786147970882,118.347424669042,150.404052610615,0.916552340494022,0.807226141934669,1.02587853905337,"Y172.1","Non Naive CD8 Specific"
